responseText,upVoteCount,downVoteCount,templatesCount
"Dear Mr. Mishra This is with reference to the draft EIA notification 2020 which was uploaded on the environment ministry's website om 12/03/2020. I raise my strong objection to the following points presented in the draft notification and request you to withdraw these notifications as it would have strong negative consequences for ecology and biodiversity of the country. 1. Point 7 on page 9 gave government total discretion on approving any kind of project which could very well be used by strong companies or mafia to create pressure on the government. 2. The list of exemptions mentioned in page 19 of the draft under the head public consultation gives exemption to virtually every project, for example the provision for relaxation given to companies for development in area with 100km aerial distance from LAC covers almost all of the north eastern states which is rich in biodiversity and these provision can cause serious damage to the environment. Not following Environment norms resulted in fire at the Baghjan well and these types of incidents will only rise if proper checks and measure isn't established. Roads are however important in development of northeastern states and i appreciate the initiative taken by government in this regard. 3. The concept of post facto clearence would give many industries a bypass to follow environment safety measures by paying a small fee and would act like a big blockage in the road towards sustainable development. This is also in direct contradiction to the order of supreme court dated 1st April 2020 stating POST FACTO CLEARENCE ARE CONTRARY TO LAW. 4. The inability of general public to register any kind if complaints and giving that power to only government and those that are currently involved in breaking the law would mean skipping an important step in keeping check and measures and would serve nothing but dire consequences for the environment and the ecology. 5. I raise strong objection to point 7 on page 9 which states that ""no information will be made public in regards to the decisions by the appraisal committee"" clearly is in violation to our right to information and a serious threat to the democratic fabric of our government. It is therefore my earnest request to make changes to the above mentioned provisions and reintroduce the draft after making necessary changes in the draft.",1,0,0
"The new notification includes certain provisions which could end up diluting the EIA process, especially the public consultation aspect. It provides for a reduction of time period from 30 days to 20 days for the public to submit their responses during a public hearing for any application seeking environmental clearance. It also requires that the public hearing process be completed in 40 days compared to 45 days under the 2006 notification. The main reason stated for reducing the time is that it would become easy for new investments to complete the formality of EIA.

- The danger is that if adequate time is not given for the preparation of views, comments and suggestions to those who would be affected by the project, then such public hearings would not be meaningful.
- In the Samarth Trust Case, the Delhi high court had considered EIAs a part of participatory justice in which the voice is given to the voiceless and it is like a jan sunwai, where the community is the jury.
- Unless a public hearing is meaningful, the whole EIA process would lack transparency and credibility. The reduction of time would particularly pose a problem in those areas where information is not easily accessible or areas in which people are not that well aware of the process itself. As the Supreme Court has said in several judgments over the years, the time for making any representation should be adequate and if it is not, then it would be a violation of the principles of natural justice.
- Even though the notification provides for the dissemination of information relating to public hearings through newspapers (and where dissemination through newspapers is not possible then by beating of drums or through radio or TV), the problem still remains. The issue of concern here is not the notice for public hearing but the access to information on which the affected people need to comment.

2. The project is allowed to start first and get an EIA clearance later. This will allow for unmonitored destruction of the environment and will pose a huge threat to the residing communities.
3. Loosened regulations: Rather than twice a year, the industries will have to now report compliance only once a year. Industries will be allowed to prepare reports themselves. There are high chances for them taking any and all measures in the name of development that will destroy the already disrupted environment.
4. Clearance exemption: If the clearance exemption clause is still provided, communities that will be affected by coal mining, petrochemical plants, irrigation or waterway projects will no longer be able to report industrial violations. In turn, again destroying the environment, forests and wildlife.
5. Fines in place of criminal implications: Small fines in place of criminal implications will give a leeway for industries to continue with their violations and destruction of the environment and its resources by just paying a small fine.
6. No public participation for dams, mining and highway expansion: Such projects no doubt are essential for development but if the communities residing around them, or the forest and the wilife surrounding the projects are being affected at alarming rates, there will not be any grievance redressal. It takes away the rights of vulnerable communities. If forests and wildlife are being affected by them, there will be no grievance redressal.
In conclusion, all these new norms give free and easy access to industries to damage our already affected environment, threatened forests and wildlife and takes away the rights of the vulnerable communities, forests or wildlife affected by them. In the wake of this pandemic, we should be more thoughtful and considerate about our environment .
Suggestion-- rather than compromise on the time needed for gathering public opinion, the government should focus on bringing down the average delay of 238 days in granting environmental clearance. In Kerala, the administration took 1,049 days to clear the construction of the IT park project of M/s T Tech Park Ltd, instead of 105 days.",0,0,0
We must keep the natural reserves for future. It is our hope,1,0,0
"I raise my strong objection to the following points presented in the draft notification and request you to withdraw these notifications as it would have strong negative consequences for ecology and biodiversity of the country. We need to preserve our nature not to destroy. Development is not constuction of industries and buildings, development is to enhance the natural wealth that we have already. Our natural wealth is agriculture and forest rich in biodiversity.",1,0,0
"I strongly oppose this draft EIA 2020.
This proposed draft will make lot of impacts to the environment and all living beings including humans.
""Environmental Safety"" shall be in that hands of responsible regulatory authorities, environmentalist, and people. Hence, public consent has to ensured before the start of any type of project. The Goverment shall abide the public consent and take necessary action for the welfare of the people and environment. Thus, I believe that there shall be given more importance for environmentalist and public consents, before any clearance to projects. And the Role of State government shall be given a big role in the process of decision making.
Environmentalist and people shall have the right to raise Public petition against any type of project.
We indians encourage environment friendly projects only. The projects for development cannot harm people and their environment.",2,0,0
"I strongly vote against EIA2020 draft. In fact, we need to make even stronger norms to protect our natural resources rather than diluting the effective Act in the name of development.
Also I feel this is not a correct time to bring this Act as many people are struggling to survive amidst Covid-19, so you can not really cover most of the countries population to provide their feedback on this draft.",0,0,0
I am totally against this act.. Not sure if the leaders are thinking of the people or just to fill in their pockets.. Being a democratic country we people and our voices should be the bloodstream of the govt.. but here the case is not like that.. Already many industries have destroyed our natural resources and bringing more of them with fewer restrictions is just going to be like bringing down the hell fire... SAVE NATURE !!!SAVE INDIA !!! JAI HIND !!!,0,0,0
This eia 2020 is not transparent. So please stop this act and don't destroy the environment more because it is already destroyed.. we rely on agriculture!(,0,0,0
I am against EIA 2020,0,0,0
"I strongly vote against EIA2020 draft. I strongly condemn diluting the effective Act in the name of development. In fact, its not development. Even if we do not make stronger norms to protect our natural resources, atleast we should not dilute it and pave way for the destruction of our environment.
Also I feel this is not a correct time to bring this Act as many people are struggling to survive amidst Covid-19, so you can not really cover most of the countries population to provide their feedback on this draft.",0,0,0
We are basically allowing destruction of environment and eventually life at the behest of infrastructure.,0,0,0
"This draft should be totally opposed. This is against democracy , against the people. Need more stricter rules to protect the environment and not to destroy it.",0,0,0
I am against EIA 2020.,0,0,0
"I against for EIA 2020 it will mostly affect the nature, environment also human being.we should save nature for future generation.we must agaainst for EIA 2020.",0,0,0
Ian against EIA2020,0,0,0
"i got this from the news paper,
This new draft would come as a major embarrassment to the country in the international stage. It is also pertinent to note that India ranked a very lowly 177 out of 180 countries in the last released Environment Performance Index (EPI) 2018, a biennial report prepared by Yale and Columbia Universities along with the World Economic Forum. India must draw inspiration from countries like Singapore and Denmark that consistently top the charts in both ease of doing business and environment performance indices.
so, government of india need to withdraw this statement immediately.",0,0,0
"This is a very dangerous and not thought through bill by Govt of India,  Mr. Modi and Mr. Prakash Javadekar have you really thought about this impact to our country.  Already India is ranking worst in managing pollution and Mr. Modi goes around the globe talking on controlling pollution and his government comes with such ridiculous bill (EIA 2020).  I did not expect BJP to even think off recommending such a worst bill.  Please stop and we Indians are against this bill.",0,0,0
"I am against EIA 2020 draft to protect our enviroinment , nature and preserve them. Let us preserve our nature and leave our earth a livable place for our future generations.",0,0,0
Stop this EIA2020 act.. Dont waste our natural resources and environment..,0,0,0
I strongly oppose EIA.. we need our environment to be safe.,0,0,0
I strongly oppose EIA 2020...,0,0,0
"India has worked hard to achieve whatever progress we have in last decade. We are among top 5 most vulnerable country to climate change . Why would you people are trying to risk all the changes we have made. Climate change is not in future it's happening now.
Reject this draft make another environment friendly one. Where violators can't just carry on with paying fine.",0,0,0
Withdraw EIA2020,0,0,0
"""Public Consultation"" for environmental clearance process seems intentionally vague and no precedence for how they have been effectively handled in our country.  Environmental Impact Assessment has lost its very reasonof existence which is ""account the needs of communities, and should be a meticulously planned, elaborate process to ascertain the environmental viability of a project"". Now it seems to be very friendly to navigate and circumvent public opinions and consultations, and the any objections from the boards. I strongly oppose this draft, considering how dangerous and impactful it can be to our planet, our only home where we live. Please reconsider and create strict measures for industries to be conscious of the environment.",0,0,0
"Dear Ministry of Environment, Forest an Climate Change,
I do not agree with EIA 2020, Kindly make an assessment which will reduce the dependency upon the environment, Our ancestor has already seen many mass extinction of nature not our children too.
Vivek Singh",0,0,0
"There are many problems with this draft on the environmental and democratic front. 
Firstly, this draft proposes to shorten public hearings and exempt some large industries from public hearings itself- includes irrigation, dam works, etc. Marginalised communities who depend on the land for all their needs will can technically lose it without being consulted for 'strategic projects'. The term strategic projects could be anything- it is not clearly defined at all! Either this, or there is lesser time for mobilisation and organised protest because of the shortening of the public hearing period. 
Then the fait accompli issues come in with the post-facto clearance. The validity for clearances for certain industries have increased- newer installations to projects can be done at much more ease with less consultation because of the clearances. The compliance report has reduced annually instead of bieneally- which causes all the more damage and lesser need for checkups! This pandemic should have been a wake up call to strengthen the environment regulations not dilute it further.
This draft should definitely be withdrawn and released at a more suitable date when people are not grappling with a global pandemic. When it is released, it should be done with adequate time for the public hearing period. There should be more transparency regarding the response people give during this period and why it has been implemented or not implemented in the final report.",0,0,0
We must keep safe our india because of money we dont want to loose our beautiful country,1,0,0
"I think many problems are with this new EIA 2020
First, the public consultation time has been reduced to 40 days, instead of reducing this time this time should be increased becuase eventually its is the genral public of that area who is going to suffer.
Secondly, The monitoring time has been relaxed to 1 year from 6 months this is a very wrong step by gov, increasing the monitoring would provide even more time to the companies to violate enoviornmental laws resulting in serious enviornmental crisis
Third,  Public hearing is no longer required ....this is against democracy, every decision that has to be taken regarding enviornment should include public hearing and a proper voting system to get a best decision.
India already ranks 168 out of 180 countries in the world for the enviornment performance index ...which is a very bad performance if we further dilute the enviornment laws our rank is going to worsen and eventually would lead to destruction.",0,0,0
"One of the major problems with this report is the categorization of the project. For example, Section 8 (3)(vii) of the Karnataka Preservation of Trees Act, 1976, stipulates that if more than 50 trees need to be cut for any infrastructure purpose, permission can only be issued after a public consultation. Officials have figured out a way to avoid this situation for sometime – they issue work orders to cut trees in bunches of 49 or lesser. To cut fewer than 50 trees, only permission from the BBMP Tree Officer is needed, and nothing more.
Ipso facto, it's easy to circumvent categorization of projects in order to avoid public consultation.
The second major pitfall is the lack of transparency of public consultations. Public consultations are posted in some esoteric corner of the internet and is usually prefunctory. We as a nation lack a cohesive public consultation space and hence most such consultations proceed with paltry inputs after they've been suspended in the void for a few days. Unless we solve the issue of proper public consulation, we'll be at the mercy of serendipity. An easy solution to this would be to post evey public consultation on a public forum like Twitter and to take strict action against any project which doesn't have a corresponding post on the twitter handle.
If we can tackle the subversion of categorization and lack of a good space for public consultation. We can ensure that such Environmental Impact Assessments have legs on which they can stand upon.",0,0,0
We must keep the natural resources for future. So don't pass the Draft.,1,0,0
"1. First of All INDIA
STOP This Act 
This is a Irrevalant for a Indian Environment .",1,0,0
I think it is uselss.. already so many environmental pollution is available in the contry.. so this need to revisited or cancelled.,0,0,0
"There are many problems with this draft on the environmental and democratic front. 
Firstly, this draft proposes to shorten public hearings and exempt some large industries from public hearings itself- includes irrigation, dam works, etc. Marginalised communities who depend on the land for all their needs will can technically lose it without being consulted for 'strategic projects'. The term strategic projects could be anything- it is not clearly defined at all! Either this, or there is lesser time for mobilisation and organised protest because of the shortening of the public hearing period. 
Then the fait accompli issues come in with the post-facto clearance. The validity for clearances for certain industries have increased- newer installations to projects can be done at much more ease with less consultation because of the clearances. The compliance report has reduced annually instead of bieneally- which causes all the more damage and lesser need for checkups! This pandemic should have been a wake up call to strengthen the environment regulations not dilute it further.
This draft should definitely be withdrawn and released at a more suitable date when people are not grappling with a global pandemic. When it is released, it should be done with adequate time for the public hearing period. There should be more transparency regarding the response people give during this period and why it has been implemented or not implemented in the final report.",0,0,0
"EIA 2020 needs to have public rights to report any issues with the company.  The current EIA 2020 to include all the rights to public and social activist. Our country is already polluted with many factories like sipcot, leather factories, etc.. Hence please keep good norms which have public rights to ask any questions if something not cleared followed by the industries.",0,0,0
"It is completely our responsibility to save ourselves, our childrens, country, environment, etc. It seems term of Democracy (Of, By, For the people) been ruined by our government and trying to act always against peoples.
1. Why they want to reduce no of days on public consulation, even previous 45 days is lesser considering our population and government awareness spreading across peoples? In fact, they have to increase.
2. They say public consulation, is it really happening? Even the peoples around the project place is not informed or consulted. So they have to include clause to bring this awareness or consultation as a transparent progress? Opinion poll should be kept publicly after proper (Pros and Cons) information about the project after educating them.
3. People and Social activist should have the critism power to bring negative industries. It is a basic rights on democracy.",0,0,0
"Demands for amendment of EIA guidelines 2020:
1. Period for public consultation: a) to be increased to minimum of 45 days; b) public consultation platform should ensure widespread accessibility, visibility and information on the same; c) format of public consultation and provision of EIA guidelines 2020 in vernacular languages. 
2. Monitoring frequency to be increased from 1 year to minimum of 6 months, preferrably quaterly assessment. Calculation of cumulative change observed in the environmental impact of the projects over small intervals lead to more accurate impact assessement. 
3. Environmental clearance: to be decentralized further than center and state government.
4.It is the duty of the government to ensure each and every citizen get fresh air to breathe pure water to drink and good environmental condition to live.More than industrial growth and employment natural resource is important the heritage of once nation should be preserved and handovered to next generation. 
 
A nations growth and prosperity is measured by how the nations protects its natural resources.",0,0,0
I m not satisfied with this act..so plz withdraw eia2020 act,1,0,0
"Lot of issues in the act against our enivorinment....already we are in the situation to save our natural resources .... now this the change which will go against our resources is not necessary ...
 
Please withdraw this act to bettermenent feature of india...",0,0,0
"The draft EIA 2020 should ideally become stronger and further the mission of the EPA under which it gains it's authority. 
The major problems I have with the current draft EIA 2020 is:
1. The relaxation of the rules regarding public consultation ( in some cases the decrease in the time period alloted for the public to voice their concerns and in other cases the complete lack of the necessity of holding a public consultation) 
2. RED category industries are being labelled as Category B2, falling under the most lenient procedures of environmental clearance which logically should not be the case of a good EIA 
3. National highways, and other roads could come up in protected areas without public consultation. This could exarcebate the already fragile ties the government has with adivasi communities and lead to mass destruction of our forests and wetlands, habitats to endangered ecology and finally a complete environmental collapse.",1,0,0
"There are many problems with this draft on the environmental and democratic front. 
Firstly, this draft proposes to shorten public hearings and exempt some large industries from public hearings itself- includes irrigation, dam works, etc. Marginalised communities who depend on the land for all their needs will can technically lose it without being consulted for 'strategic projects'. The term strategic projects could be anything- it is not clearly defined at all! Either this, or there is lesser time for mobilisation and organised protest because of the shortening of the public hearing period. 
Then the fait accompli issues come in with the post-facto clearance. The validity for clearances for certain industries have increased- newer installations to projects can be done at much more ease with less consultation because of the clearances. The compliance report has reduced annually instead of bieneally- which causes all the more damage and lesser need for checkups! This pandemic should have been a wake up call to strengthen the environment regulations not dilute it further.
This draft should definitely be withdrawn and released at a more suitable date when people are not grappling with a global pandemic. When it is released, it should be done with adequate time for the public hearing period. There should be more transparency regarding the response people give during this period and why it has been implemented or not implemented in the final report.",0,0,0
"When the monitoring needs to be more frequent then the Draft Environment Impact Assessment Notification, 2020 says to relax it. It itself raises a lot of questions. And the environmental clearance process will turn into the centralized process which is actually against the democratic system and narrow perspective of such a vast issue. There are many problems with this new 2020 draft.",0,0,0
"As a citizen, knowing the drawbacks of EIA2020 act, we totally stand aganist it. We want the government to withdraw this act back and save our nation. Please dont demolish the country.",0,0,0
"There are many problems with this draft on the environmental and democratic front. 
I strongly oppose this draft EIA 2020.",0,0,0
India is now attracrina huge FDI from across the world after the outbreak of Corona. We Indians require this growth opportunity in the way such that our environment should be saved for our future generations. I expect that the rules should not be changed even if the work gets delayed for setting up a production /manufacturing unit. My answer is no to EIA 2020.,0,0,0
"Environment is more important than economy. Environment should be first factor for any development projects. EIA 2020 acts as a threat to environment. Hence, I am voting against it. Please supprot",0,0,0
"I request the lawmakers to withdraw this EIA 2020 and urge to continue what is existing.
This act will bring total harness to the environemt and later to the mankind. How an employee will raise his voice against the employer ? Every Indian citizen should be provided with the right to complaint against the environmental problems created by whom so ever. WITHDRAW EIA 2020 !!",0,0,0
"One of the major problems with this report is the categorization of the project. For example, Section 8 (3)(vii) of the Karnataka Preservation of Trees Act, 1976, stipulates that if more than 50 trees need to be cut for any infrastructure purpose, permission can only be issued after a public consultation. Officials have figured out a way to avoid this situation for sometime – they issue work orders to cut trees in bunches of 49 or lesser. To cut fewer than 50 trees, only permission from the BBMP Tree Officer is needed, and nothing more.
Ipso facto, it's easy to circumvent categorization of projects in order to avoid public consultation.
The second major pitfall is the lack of transparency of public consultations. Public consultations are posted in some esoteric corner of the internet and is usually prefunctory. We as a nation lack a cohesive public consultation space and hence most such consultations proceed with paltry inputs after they've been suspended in the void for a few days. Unless we solve the issue of proper public consulation, we'll be at the mercy of serendipity. An easy solution to this would be to post evey public consultation on a public forum like Twitter and to take strict action against any project which doesn't have a corresponding post on the twitter handle.
If we can tackle the subversion of categorization and lack of a good space for public consultation. We can ensure that such Environmental Impact Assessments have legs on which they can stand upon.",0,0,0
I am against EIA 2020.,0,0,0
"I strongly believe, the modified bill will help industries setting up their factories by not worrying about the negative impact it creates to the environment since the bill reduces transperancy in communication between industries and general public who gets affected by those industries. So, i strongly recommend to withdraw the bill.",0,0,0
"We all have a place that we call as our home, Bengaluru, India, Earth where we breathe clean air, eat healthy food & drink clean water. If this act is approved, then we won't be having a place that we call as our home anymore.",0,0,0
It's against the Common Indian Citizen Right. If it come in place all people of india has to suffer and will be in position buy even the air to breathe.,0,0,0
"1. To be heard is a right and turning down any chance of public hearing for strategic projects isn't welcoming. 
2. Ex-ante regulation should be put in place instead of post facto regulation.",0,0,0
"Every step in relaxing the already less stringent environmental laws is a nail on our own coffin. When the climate crisis is deepening, we cannot turn our head. If we will do so, we are moving towards a terminal where mankind will go extinct!",0,0,0
"It is a well known fact that a significant roadblock for key infrastructure projects in India is the need for Environmental Clearances. For example, the Navi-Mumbai International Airport has been delayed for over a decade due to environmental clearance issues. Additionally, existing regulations make it cumbersome for project operators to obtain appropriate project financing, which make it even more difficult to accommodate concerns and issues raised by the appraisers. 
As per a Ministry of Statistics and Program Implementation Report in October 2019 as many as 388 infrastructure projects (totalling over Rs. 4 lakh crore) had been hit by cost overruns of various reasons - environmental reasons being one of them.  Such delays and financing issues increase overall cost on projects and might even make them unviable. This leads to an increased burden on the government exchequer for infrastructure financing. While the draft EIA notification appears to make the process of obtaining EP or EC easier, it would be hugely beneficial if the environmental authorities allocated regulatory resources prioritizing overall project costs (including public and private expenditures). This would require better communication channels between the project financing authorities and the EIA authorities. 
Speaking of clearances, it's worth pointing out that govt employees responsible for conducting EIAs are also human, and there has to be a way for business owners to elevate concerns of improper behavior. Something like Karnataka's SAKALA would be useful here, which allows citizens to appeal when they are being stonewalled by someone looking for a bribe (for some govt departments, at least).
Another problem that may not have been remedied by this report is the categorization of the project. For example, Section 8 (3)(vii) of the Karnataka Preservation of Trees Act, 1976, stipulates that if more than 50 trees need to be cut for any infrastructure purpose, permission can only be issued after a public consultation. Officials have figured out a way to avoid this situation – they issue work orders to cut trees in bunches of 49 or less. To cut fewer than 50 trees, only permission from the BBMP Tree Officer is needed, and nothing more.
Ipso facto, it's easy to circumvent categorization of projects in order to avoid public consultation.
The third major pitfall is the lack of transparency of public consultations. Public consultations are posted in some esoteric corner of the internet and are usually perfunctory. We as a nation lack a cohesive public consultation space and hence such consultations often proceed with paltry inputs after they've been suspended in the void for a few days. Unless we solve the issue of proper public consulation, we'll be at the mercy of serendipity. An easy solution to this would be to allow the public to subscribe to a mailing list that can - most importantly! - be categorized and filtered by location etc, so that citizen engagement isn't eroded by information fatigue, along with informative flyers put up at the panchayat level for the full forty days of public consultation.",0,0,0
"There are many problems with this draft on the environmental and democratic front. 
Firstly, this draft proposes to shorten public hearings and exempt some large industries from public hearings itself- includes irrigation, dam works, etc. Marginalised communities who depend on the land for all their needs will can technically lose it without being consulted for 'strategic projects'. The term strategic projects could be anything- it is not clearly defined at all! 
Then the issues come in with the post-facto clearance. Post facto approval will waive off the environmental damage which is already done by the project. Hazardous industries may use this loophole to start industries at any place.
This draft should definitely be withdrawn and released at a more suitable date when people are not grappling with a global pandemic. When it is released, it should be done with adequate time for the public hearing period. There should be more transparency regarding the response people give during this period and why it has been implemented or not implemented in the final report.",0,0,0
Public should have rights to qusetion government and industires regard,0,0,0
I strongly oppose Draft Environment Impact Assessment 2020 (EIA 2020).,0,0,0
Am against this act. India can come up with opportunities and ideas with existing resources. Good Leadership and Best Administrative skills is something that we should get evolved by keeping our own ideas with existing resources. I would recommend GOVT should come up with development plans by refining our existing resource. India can stay to be as DEVELOPING COUNTRY itself than trying to prove as DEVELOPED COUNTRY by spoiling all the resources.,1,0,0
"Nowadays we are in situations that we have to fight for our rights, survival in our home country, protecting our generation, natural resources is very very difficult with the state cum central government.",0,0,0
"There are many problems with this draft on the environmental and democratic front. 
Firstly, this draft proposes to shorten public hearings and exempt some large industries from public hearings itself- includes irrigation, dam works, etc. Marginalised communities who depend on the land for all their needs will can technically lose it without being consulted for 'strategic projects'. The term strategic projects could be anything- it is not clearly defined at all! Either this, or there is lesser time for mobilisation and organised protest because of the shortening of the public hearing period. 
Then the fait accompli issues come in with the post-facto clearance. The validity for clearances for certain industries have increased- newer installations to projects can be done at much more ease with less consultation because of the clearances. The compliance report has reduced annually instead of bieneally- which causes all the more damage and lesser need for checkups! This pandemic should have been a wake up call to strengthen the environment regulations not dilute it further.
This draft should definitely be withdrawn and released at a more suitable date when people are not grappling with a global pandemic. When it is released, it should be done with adequate time for the public hearing period. There should be more transparency regarding the response people give during this period and why it has been implemented or not implemented in the final report.",0,0,0
"I request the lawmakers to withdraw this EIA 2020 and urge to continue what is existing.
This act will bring total harness to the environemt and later to the mankind. How an employee will raise his voice against the employer ? Every Indian citizen should be provided with the right to complaint against the environmental problems created by whom so ever. WITHDRAW EIA 2020 !!",0,0,0
Stop the EIA2020 ACT ... Save the natural resources...,0,0,0
I strongly condemn this draft as it is likely to harm the biodiversity of india specially in NE region.it will further loosen this prevailing act and allow the looterans to exploit our nature so easily.so I'm totally against this draft.,0,0,0
EIA ACT 2006 is not redundant.. And lifting of the norms for business clearance is not welcome..  I firmly oppose it..we are all for development as long as it is substantial..,0,0,0
"Stop environment impact assasment (EIA).  First protect our environment,don’t bring this like worst rules to distroy our environment.",0,0,0
I am against EIA 2020.,0,0,0
Am totally against it. This was created in 1986 to save the unethical usage of resources of India. What about the future of India if we lose everything. What about the future generation. Pls stop this.,0,0,0
I am against EIA 2020. Need re-evaluation. Save our environment,0,0,0
I am against EIA 2020.,0,0,0
"This draft is more favouring towards industrialisation, but in case of enviornment we need holistic approach and the motive of such drafts must be in the favour of enviornment and its conservation not on industrialisation, strict laws must be made for clearance in order to prevent gas leak tragedies and so on and also to preserve biodiversity and human quality of life",0,0,0
"The Central Ministry has proposed a change in existing Environment Impact Assessment processes (EIA Notification, 2006) through a draft EIA Notification, 2020. The proposed notification will destroy the process of environmental protection and affecting the environment irreversibly, also making it easier for the corporates to get environmental clearances for their projects. Hence, We the people Tamilnadu, oppose the draft Environment Impact Assessment Notification, 2020, and request you to withdraw the same.
Amidst the pandemic situation, it is improper to take decisions that will have an irreversible impact on the environment. However, the Union Ministry is keen on making changes in Environment rules and granting clearances. It is evident from the fact that over 30 projects, located in some of India's most biodiverse forests have been urgently cleared or taken up for clearance in online meetings during the lockdown (April 23). Site inspections are a crucial component of project evaluation and are difficult during a pandemic. Ministry appears to be relying only on digital documents uploaded by the project developers. Even more surprisingly these projects have been cleared at a time when Covid-19 has revealed dramatically how seriously the loss of forest land and biodiversity can increase zoonotic diseases.
Environmentalists also have raised their voice and wrote to Environment Minister regarding how forest and environment clearances were being granted across India during the lockdown. On that note, shockingly, the Ministry has put out a draft notification for public comments amidst global economic and public health emergency when there is restricted public movement.
Major Issues:
•    The new amendment poses a serious threat to the environment and there are some areas of concern like granting post-facto clearances to Industries and leaving aside them with Fine alone in case of any violations. For several projects, the whole process of EIA is made simpler and fails to meet the standards of basic environmental protections. However, in an order on April 1, the Supreme Court held that ""ex post facto environmental clearances"" are contrary to law. It said: ""Environment law cannot countenance the notion of an ex post facto clearance. This would be contrary to both the precautionary principle as well as the need for sustainable development"".
•    A public hearing has been exempted to many industries (those producing acids, paints, fertilizers, pesticides, etc.) located in Notified Industrial Zone, this will create serious problems in areas that depend entirely on ground and river water for agricultural usage. Public consultation has also been exempted from a list of linear projects. Projects such as roads and pipelines in border areas will not require any public hearing. The 'border area' is defined as ""area falling within 100 kilometers aerial distance from the Line of Actual Control with bordering countries of India."" That would cover much of the Northeast, the region with the country's richest biodiversity. Exemption from public hearing goes against International environmental law and agreements.
•    Increased validity of the environment clearance for mining projects and river valley projects from 30 years currently to 50 years and, 10 years currently to 15 years respectively, thus increasing the risk of irreversible environmental, social, and health consequences on account of the project remaining unnoticed for long.
•    Through the draft, it is enough for the industries to provide an annual environmental compliance report rather than half-yearly reports. Past experiences show that industries have continued to provide data that are false and inaccurate. Seeking an annual report provides an opportunity for the industries to further underestimate any socio-environmental issues arising in their projects.
•    The Public consultation process is diluted. The period for the public to submit their views and responses during a public hearing for any application seeking Environment clearance has been reduced from 30 days to 20 days. It is aimed at denying the proper opportunity to record the objections of the people of the region. 
The various provisions of the draft are aimed at facilitating the government's doctrine of ""ease of doing business"". Hence, we would like to reiterate that it is our generation that will be a victim of the devastating effects of these twisted and diluted laws like the new EIA draft. In this age of high pollution levels in our cities, we need to strengthen the EIA 2006 instead of allowing amendments that will dilute the rules and encourage environmental violations.
The current draft lacks understanding of the adverse effects of activities like disturbances in eco-sensitive zones, extensive minings. The notification was released on 23rd March 2020, surprisingly right before the day of nationwide lockdown. There has been no wide publicity given to the same except being uploaded on the website. The Covid-19 pandemic has been a time to stay safe and protect oneself. Hence, the government must understand it is not the right time to make amendments in EIA Notification for its aspiration of doing business. We sincerely hope that the Environment Ministry will encourage informed public participation as committed through Principle 10 of the Rio Declaration and the principle of Natural Justice. The EIA can be used to bring India out of the Covid-19 pandemic as an environmentally aware country through a green recovery that strengthens the role of environmental and social protection of all people and nature instead of justifying the present forms of harmful development.
So, we request you to kindly withdraw the Draft EIA Notification – 2020, right now.
Thanking you",0,0,0
"In and of itself, the consultation process should have retained the 45 days window. Can see no valid reason as to why that was shortened.
Firstly, the draft process mentions the various clearances that would be required and how it plans to segregate it into 'categories', as a citizen I would've liked it if there was a precedent and I knew where this was coming from - thus, an even greater need for public consultations.
Secondly, when one jumps into the weeds of the draft, they'll be drowned out by references and cross-references to a section after section which in the end makes the whole process incredibly cumbersome and difficult to understand.
In conclusion, the need for more conversation around our environment can't be stressed enough. However, as the recent episodes with the NGT show, we need to place a greater emphasis on the need for public consultation where the 'public' is part of the process from the get-go.",0,0,0
"On a comparative analysis of EIA regulations in India with countries of the EU and USA, it can be observed that the process in India deliberately limits involvement of public and government agencies in the initial stages and has no provision to account for landscape and visual impacts of a project. We cannot accept the policy of allowing polluting and destroying the environment by starting activities without any prior assessmets. I demand the withdrawal of the proposed Environment Impact Assessment Notification, 2020.",0,0,0
"It is understandable that businesses would want the process of an EIA to be quick & efficient. However, changing the process to be lax is not the solution. We should actually work on frameworks to make the EIA thorough, transparent and easy to spot discrepencies.",0,0,0
"Safety of environment depends on responsible regulatory authorities and public consent. Here local people are the most affected entity of social structure when an environmental regulation is passed. Thus I believe more weitage should be given to public opinion in the process of clearance. Role of state government and local government should be increased in decision making.
Safety of environment depends on responsible regulatory authorities and public consent. Here local people are the most affected entity of social structure when an environmental regulation is passed. Thus I believe more weitage should be given to public opinion in the process of clearance. Role of state government and local government should be increased in decision making.
Considering climate change 
Considering climate change there should be a provision to file a petition against the already approved resolution.",0,0,0
"In my opinion, the period for consultation should be kept as 45 days itself and the frequency of monitoring must be increased. It is good that there is an option to appeal to the tribunal.",0,0,0
"There are many problems with this draft on the environmental and democratic view.At this pandemic situation govt should not do this & take back this draft immediately.This draft should publish the all language,at least, which is listed in our currency.
Am totally.against this draft.",0,0,0
I am totally against this act. Please stop processing this act which makes very very poor fo next generation people for their furture,0,0,0
"Thank you, team, for your continued efforts in resisting the implementation of draft EIA 2020. It is high time for authorities to understand that activities that could adversely affect the environment are no longer just some ""business"" or ""development"" opportunities; rather, improving the requirements for such assessments and making them even more stringent is an important step towards building a sense of collective responsibility of citizens for the most critical aspect of life - the environment. It is also time for change in leadership - not for leaders with just more tenure or better contacts, but for leaders who understand the serious implications of playing around with ecological balance. Hoping to see the draft EIA 2020 scrapped when the time comes.",0,0,0
